H0013797	1838-03	Wilhelm Weber auf der Reise nach London in Berlin. H. lädt Weber und Poggendorff zu einem Mittwoch um 10 Uhr zum Frühstück ein.	{H0005221=Berlin|H0005221, H0011492=London|H0011492}	{H0002047=Poggendorff|H0002047|https://upload.wikimedia.org/wikipedia/commons/6/69/Johann_Christian_Poggendorff.jpg, H0006276=Wilhelm Weber|H0006276|https://upload.wikimedia.org/wikipedia/commons/5/55/Wilhelm_Eduard_Weber_II.jpg}	[]
H0000616	1832-03-30	„Seit 2 Tagen haben wir nun auch die Cholera [in Paris].“ (Brief an Encke, 30.3.1832).	{}	{}	[]
H0000617	1832-06	H. findet in der Bibliothek von Charles-Athanase Walckenaer in Paris eine Karte wieder, die Juan de la Cosa im Jahre 1500 von der Neuen Welt angefertigt hatte.	{H0008129=Paris|H0008129}	{H0006202=Charles-Athanase Walckenaer|H0006202|https://upload.wikimedia.org/wikipedia/commons/0/0d/Gravure_-_Charles_Athanase_Walckenaer.jpeg, H0013195=Juan de la Cosa|H0013195|https://upload.wikimedia.org/wikipedia/commons/e/e4/Juan-de-la-cosa.jpg}	[]
H0000618	1832-05-01	H. reist nach Berlin zurück. Reiseroute: Metz (3.5.), Frankfurt/Main (9.5.), Seeberg bei Gotha, Weimar. Am 16.5. ist er wieder in Berlin.	{H0004798=Frankfurt/Main|H0004798, H0005221=Berlin|H0005221, H0008839=Metz|H0008839, H0010186=Seeberg bei Gotha|H0010186}	{}	[]
H0000619	1832-08-12	H. weilt von diesem Tage an mit dem König in Paretz. Friedrich Wilhelm III. kehrt am 16.8. nach Potsdam zurück.	{H0008113=Paretz|H0008113, H0008392=Potsdam|H0008392}	{H0002177=König|H0002177|https://upload.wikimedia.org/wikipedia/commons/7/76/Friedrich_Wilhelm_III.%2C_K%C3%B6nig_von_Preu%C3%9Fen_%28unbekannter_Maler%29.jpg}	[]
H0000620	1832-09-27	H. reist nach Teplitz, wo er mit Friedrich Wilhelm III. bis Mitte Oktober (B: 16.10.) bleibt. Auf der Hin- oder Rückreise besucht er Carl Gustav Carus in Dresden. Reisedaten Friedrich Wilhelm III.: 28.9. Abreise, 29.9. Ankunft in Teplitz; 20.10. Abreise von Teplitz, 21.10. Ankunft in Potsdam. Hin- und Rückreise über Dresden.	{H0005565=Dresden|H0005565, H0008392=Potsdam|H0008392, H0009328=Teplitz|H0009328}	{H0002177=König|H0002177|https://upload.wikimedia.org/wikipedia/commons/7/76/Friedrich_Wilhelm_III.%2C_K%C3%B6nig_von_Preu%C3%9Fen_%28unbekannter_Maler%29.jpg, H0012918=Carl Gustav Carus|H0012918|https://upload.wikimedia.org/wikipedia/commons/1/11/Carl_Gustav_Carus_Portrait.JPG}	[]
H0000621	1832-10-22	Grundsteinlegung der neuen Sternwarte in Berlin (Lindenstraße), an deren Vorbereitung und Ausstattung H. maßgeblichen Anteil hat. (Beendigung des Baues: 4.12.1835).	{}	{}	[]
H0015094	1790-02-14	H. schickt den ersten Teil des Manuskripts für das Buch „Mineralogische Beobachtungen über einige Basalte am Rhein“ an den Verleger. Der Rest folgt am 21.2.; das Werk erscheint im gleichen Jahr in Braunschweig.	{H0005348=Braunschweig|H0005348}	{}	[]
H0015095	1790-03-18	H., der seine Studien in Göttingen beendet hat, reist nach Mainz.	{H0008587=Mainz|H0008587, H0010897=Göttingen|H0010897}	{}	[]
H0015096	1790-03-21	H. trifft in Mainz bei Georg Forster ein.	{H0008587=Mainz|H0008587}	{H0000177=Georg Forsters|H0000177|https://upload.wikimedia.org/wikipedia/commons/4/4a/Georg_Forster.jpg}	[]
H0015097	1790-03-25	Beginn der Reise H.s mit Forster. Reiseroute (Übernachtungsorte, soweit bekannt, kursiv): 7 Uhr Abfahrt mit dem Schiff von Mainz, Eltville, Bingen, Bacharach, Kaub, St. Goar, Boppard (20 Uhr).	{H0000393=Kaub|H0000393, H0005050=Bacharach|H0005050, H0005245=Bingen|H0005245, H0005312=Boppard|H0005312, H0005637=Eltville|H0005637, H0008587=Mainz|H0008587}	{H0000177=Georg Forsters|H0000177|https://upload.wikimedia.org/wikipedia/commons/4/4a/Georg_Forster.jpg}	[]
H0015098	1790-03-26	Ehrenbreitstein (von hier bis Düsseldorf begleitet sie der Schauspieler August Wilhelm Iffland), bis 13.30 Uhr in Koblenz, Neuwied, Andernach (mineralogische Exkursion).	{H0000438=Koblenz|H0000438, H0001619=Neuwied|H0001619, H0002455=Andernach|H0002455, H0005581=Düsseldorf|H0005581, H0005592=Ehrenbreitstein|H0005592}	{H0015284=August Wilhelm Iffland|H0015284|https://upload.wikimedia.org/wikipedia/commons/7/7d/August_Wilhelm_Iffland_Johann_Stephan_Decker.jpg}	[]
H0015099	1790-03-27	Abfahrt bald nach 4 Uhr, Basaltbruch gegenüber Unkel (9 Uhr), Bonn, Köln (bis zum Einbruch der Dunkelheit im Dom).	{H0000446=Köln|H0000446, H0005309=Bonn|H0005309, H0009651=Unkel|H0009651}	{}	[]
H0015100	1790-03-28	Mit dem Schiff bis Düsseldorf, Aufenthalt in Pempelfort bis zum 30.3. bei F. H. Jacobi.	{H0005581=Düsseldorf|H0005581, H0008199=Pempelfort|H0008199}	{H0004109=Friedrich Heinrich Jacobi|H0004109|https://upload.wikimedia.org/wikipedia/commons/d/d4/FH_Jacobi.jpg}	[]
H0015101	1790-03-30	Besuch der Galerie in Düsseldorf (3 Stunden). Nachts von Pempelfort nach Jülich, Aachen. Aufenthalt dort bis zum 3.4. mit Abstechern nach Vaals und Burtscheid.	{H0002298=Aachen|H0002298, H0005581=Düsseldorf|H0005581, H0008199=Pempelfort|H0008199}	{}	[]
H0015102	1790-04-03	Früh Abreise von Aachen nach Clermont, Lüttich. Aufenthalt dort bis zum 5.4.	{H0002298=Aachen|H0002298}	{}	[]
H0015103	1790-04-05	Lüttich, St. Trond, Tirlemont, Löwen.	{}	{}	[]
H0015104	1790-04-06	Löwen, Mecheln, Vilvoorde, Brüssel.	{H0005371=Brüssel|H0005371}	{}	[]
H0015105	1790-04-07	Stadtbesichtigung von Brüssel.	{H0005371=Brüssel|H0005371}	{}	[]
H0015106	1790-04-09	Exkursion von Brüssel nach Schooneberg,	{H0005371=Brüssel|H0005371}	{}	[]
H0015107	1790-04-11	Weiterfahrt von Brüssel nach Enghien. Besuch bei Herzog Ludwig Engelbert von Aremberg (1750–1820).	{H0005371=Brüssel|H0005371}	{}	[]
H0015108	1790-04-12	Enghien, Ath, Leuze, Tournai, dann über die französische Grenze nach Pont à Tressain, Lille.	{}	{}	[]
H0015109	1790-04-13	Lille, Armentières, Bailleul, Cassel, Bergen, Dünkirchen.	{H0005577=Dünkirchen|H0005577}	{}	[]
H0015110	1790-04-14	Dünkirchen, dann über die französisch-österreichische Grenze, Fürnen.	{H0005577=Dünkirchen|H0005577}	{}	[]
H0015111	1790-04-15	Fürnen, Nieuwpoort, Ghisiel, Ostende.	{}	{}	[]
H0015112	1790-04-16	Ostende, Jabick, Brügge, Gent.	{H0010839=Gent|H0010839}	{}	[]
H0015113	1790-04-17	Gent, Lokeren, St. Nikolas, Antwerpen.	{H0002479=Antwerpen|H0002479, H0010839=Gent|H0010839}	{}	[]
H0015114	1790-04-18	Besichtigung einer Salzsiederei.	{}	{}	[]
H0015115	1790-04-19	Um 4.30 Uhr Abreise von Antwerpen, über die holländische Grenze, Zevenbergen, Moerdyk, Übersetzen über Hollandsch Diep, Weiterreise über Stryen nach Katendrecht (?).	{H0002479=Antwerpen|H0002479}	{}	[]
H0015116	1790-04-20	Über die Nieuwe Maas nach Rotterdam.	{H0010667=Rotterdam|H0010667}	{}	[]
H0015117	1790-04-21	Rotterdam, Delft, Den Haag, am 21.4. Spaziergang nach Scheveningen.	{H0010667=Rotterdam|H0010667}	{}	[]
H0015118	1790-04-27	Abfahrt von Den Haag um Mitternacht (auf dem Schiff geschlafen), an Hartekamp vorbei, Haarlem, mit Kutsche bis Amsterdam. Aufenthalt dort bis zum 1.5.	{H0002435=Amsterdam|H0002435, H0006773=Haarlem|H0006773}	{}	[]
H0015119	1790-04-29	Ausflug von Amsterdam nach Zaandam.	{H0002435=Amsterdam|H0002435}	{}	[]
H0015120	1790-05-01	Um 5 Uhr Abfahrt von Amsterdam, Haarlem, Leiden (22 Uhr). Aufenthalt dort bis zum 4.5.	{H0002435=Amsterdam|H0002435, H0006773=Haarlem|H0006773, H0011408=Leiden|H0011408}	{}	[]
H0015121	1790-05-04	Leiden, Delft, Maassluis.	{H0011408=Leiden|H0011408}	{}	[]
H0015122	1790-05-05	Maassluis, über die Maas, Insel Rozenburg, über den anderen Maasarm, Brielle, Hellevoetsluis (13 Uhr). Um 16 Uhr Einschiffung an Bord der „Nancy“ (Fischerboot aus Harwich), Überfahrt nach England.	{H0005653=England|H0005653}	{}	[]
H0015123	1790-06-30	Reisen in England: London (3.6.), Besuch der Westminster-Abbey, Aufführung des „Messias“ von Georg Friedrich Händel, (5.6.), Westminster Hall, (bei diesem oder dem zweiten Aufenthalt in der Stadt Besuch des botanischen Gartens von Kew), Windsor, Reading, Bath, Bristol (Ankunft 7.6., abends), über Worcester, Droitwich, Gloucester, nach Birmingham (9.–11.6.), über Cheadle und Buxton nach Castleton, Middteton (13.6.), Chatsworth, Matlock (14.6.), über Cromford nach Derby (15.6.), über Buxton, Coventry und Warwick nach Stratford (16.6.), über Shipston und Chapel nach Woodstock (17.6.), über Blenheim nach Oxford (18.–20.6.), H. lernt den letzten Schüler Linnés, Adam Afzelius (1750–1837), kennen. London (27.6.), Dover (28.6.). Überfahrt nach Frankreich: Calais (29.6.), Paris; dort Aufenthalt bis zum 6.7. (Diese Daten sind den Briefen und Berichten Georg Forsters entnommen.)	{H0004801=Frankreich|H0004801, H0005168=Bath|H0005168, H0005653=England|H0005653, H0007225=Castleton|H0007225, H0007895=Oxford|H0007895, H0007973=Windsor|H0007973, H0008129=Paris|H0008129, H0008761=Matlock|H0008761, H0011492=London|H0011492}	{H0000177=Georg Forsters|H0000177|https://upload.wikimedia.org/wikipedia/commons/4/4a/Georg_Forster.jpg, H0004551=Linnés|H0004551|https://upload.wikimedia.org/wikipedia/commons/6/68/Carl_von_Linn%C3%A9.jpg, H0011637=Georg Friedrich Händel|H0011637|https://upload.wikimedia.org/wikipedia/commons/f/fa/George_Frideric_Handel_by_Balthasar_Denner.jpg, H0012513=Adam Afzelius|H0012513|https://upload.wikimedia.org/wikipedia/commons/5/5c/Adam_Afzelius_by_CF_Breda.jpg}	[]
H0015124	1790-07-06	Abreise von Paris, Livry, Claye, Meaux.	{H0008129=Paris|H0008129}	{}	[]
H0015125	1790-07-07	Um 3 Uhr Abreise von Meaux, Marnetal bis Epernay (10 Uhr), Châlons-sur-Marne (16 Uhr).	{}	{}	[]
H0015126	1790-07-08	Châlons-sur-Marne, Clermont-en-Argonne, Verdun.	{}	{}	[]
H0015127	1790-07-09	Verdun, Mauheule, Metz (14.30 Uhr).	{H0008839=Metz|H0008839}	{}	[]
H0015128	1790-07-11	Ankunft in Mainz.	{H0008587=Mainz|H0008587}	{}	[]
H0015129	1790-07-25	H. sendet seine Schrift „Mineralogische Beobachtungen über einige Basalte am Rhein“ an Abraham Gottlob Werner.	{H0010465=Rhein|H0010465}	{H0006329=A. G. Werner|H0006329|https://upload.wikimedia.org/wikipedia/commons/f/f3/Abraham_Gottlob_Werner.jpg}	[]
H0015130	1790-07-26	Abreise (geplant) von Mainz, Aschaffenburg, Vogelsgebirge, Rhön, Göttingen (B: 10.8.), Hamburg.	{H0002573=Aschaffenburg|H0002573, H0006791=Hamburg|H0006791, H0008587=Mainz|H0008587, H0010481=Rhön|H0010481, H0010897=Göttingen|H0010897}	{}	[]
H0015131	1790-08-10	H. besucht Georg Christoph Lichtenberg in Göttingen und berichtet ihm von seiner Reise.	{H0010897=Göttingen|H0010897}	{H0004518=Georg Christoph Lichtenberg|H0004518|https://upload.wikimedia.org/wikipedia/commons/9/96/Georg_Christoph_Lichtenberg.jpg}	[]
H0015132	1790-08-20	H. setzt an der Handelsakademie von Johann Georg Büsch (1728–1800) in Hamburg seine Studien fort.	{H0006791=Hamburg|H0006791}	{H0011271=Johann Georg Büsch|H0011271|https://upload.wikimedia.org/wikipedia/commons/f/fe/Leopold_Kupelwieser_001.jpg}	[]
H0015133	1790-09	H. macht eine achttägige Reise zur Insel Helgoland.	{}	{}	[]
H0015134	1790-10-03	H. sendet seine „Mineralogischen Beobachtungen über einige Basalte am Rhein“ an Georg Christoph Lichtenberg.	{H0010465=Rhein|H0010465}	{H0004518=Georg Christoph Lichtenberg|H0004518|https://upload.wikimedia.org/wikipedia/commons/9/96/Georg_Christoph_Lichtenberg.jpg}	[]
H0006104	1798-02	Der zweite Band der „Versuche über die gereizte Muskel- und Nervenfaser“ (Posen und Berlin 1797 [!] ist abgeschlossen.	{H0005221=Berlin|H0005221, H0008385=Posen|H0008385}	{}	[]
H0006105	1798-03	H. schreibt seine „Einleitung über einige Gegenstände der Pflanzenphysiologie“ zu der deutschen Übersetzung des Werkes „Über Ernährung der Pflanzen und Fruchtbarkeit des Bodens“ (1798) von Jan Ingenhousz (1730–1799).	{}	{H0015301=Jan Ingenhousz|H0015301|https://upload.wikimedia.org/wikipedia/commons/c/cf/Jan_Ingenhousz.jpg}	[]
H0006106	1798-03-04	H. besteigt den Gaisberg bei Salzburg.	{H0009764=Salzburg|H0009764}	{}	[]
H0006107	1798-04-03	H. teilt Joseph von Utzschneider (1763–1840) aus Salzburg mit, dass er ihn am 7.4. in Berchtesgaden besuchen wird und fordert ihn auf, mit nach München und Stuttgart weiterzureisen.	{H0005209=Berchtesgaden|H0005209, H0009046=München|H0009046, H0009764=Salzburg|H0009764, H0010371=Stuttgart|H0010371}	{}	[]
H0006108	1798-04-07	H. bis zum 17.4. in Berchtesgaden (6 Tage auf dem Schloss Adelsheim und bei Joseph von Utzschneider).	{H0005209=Berchtesgaden|H0005209}	{}	[]
H0006109	1798-04-08	H. in Reichenhall (ebenso am 13.4.).	{H0010451=Reichenhall|H0010451}	{}	[]
H0006110	1798-04-16	H. mißt am Königssee Lufttemperatur und Luftfeuchtigkeit sowie mit einer Thermometersonde die Wassertemperatur in verschiedenen Tiefen.	{}	{}	[]
H0006111	1798-04-22	H. verkauft das ihm als Erbteil zugefallene Gut Ringenwalde für 72.000 Taler.	{}	{}	[]
H0006112	1798-04-24	H. reist von Salzburg nach Paris ab. Reiseroute: Berchtesgaden, München (26.4.; Besichtigung des militärischen Arbeitshauses), Augsburg (28.4.), Stuttgart, Rastatt, Straßburg.	{H0002622=Augsburg|H0002622, H0005209=Berchtesgaden|H0005209, H0008129=Paris|H0008129, H0009046=München|H0009046, H0009764=Salzburg|H0009764, H0010365=Straßburg|H0010365, H0010371=Stuttgart|H0010371}	{}	[]
H0006113	1798-05-12	H. trifft in Paris ein, wo sich Bruder und Schwägerin schon seit dem 17.11.1797 aufhalten. Er wohnt Hôtel Boston, Rue du Colombier n. 7. Mit dem Mathematiker Jean Charles de Borda bestimmt H. die magnetische Inklination auf dem Pariser Observatorium.	{H0008129=Paris|H0008129}	{H0003490=Jean Charles de Borda|H0003490|https://upload.wikimedia.org/wikipedia/commons/0/03/Jean_Charles_Borda.jpg, H0012060=Caroline von Dacheröden|H0012060|https://upload.wikimedia.org/wikipedia/commons/e/ed/Carolina_von_Humboldt_mit_Gitarre.jpg, H0012068=Bruder|H0012068|https://upload.wikimedia.org/wikipedia/commons/a/af/WilhelmvonHumboldt.jpg}	[]
H0006114	1798-05-25	H. liest im „Institut de France“ (künftig hier mit „Institut“ bezeichnet; es handelt sich, von den wechselnden offiziellen Benennungen abgesehen, stets um die „Académie des Sciences“, eine der dem „Institut“ angehörenden Akademien) über „expériences sur le gaz nitreux et ses combinaisons avec le gaz oxygène“.	{}	{}	[]
H0006115	1798-05-30	H. liest im „Institut“ über „l'état exact de l'atmosphère“.	{}	{}	[]
H0006116	1798-06-02	H. ist anwesend, als in Lieusaint bei Paris die Basismessung für den Meridianabschnitt zwischen Dünkirchen und Barcelona, u.a. zur Festlegung des standardisierten Urmeters, beendet wird.	{H0005121=Barcelona|H0005121, H0005577=Dünkirchen|H0005577, H0008129=Paris|H0008129, H0011437=Lieusaint|H0011437}	{}	[]
H0006117	1798-06-03	H. wiederholt vor der Galvanismus-Kommission des „Institut“ eine Reihe seiner galvanischen Experimente.	{}	{}	[]
H0006118	1798-06-30	H. beobachtet mit dem Physiker Jean-Claude Delamétherie, dem Astronomen Alexis Bouvard, dem Mineralogen Louis-Benjamin Fleuriau de Bellevue und dem Meteorologen Louis Cotte im Observatoire National die magnetische Inklination, er steigt mit den Genannten in die Höhlen unterhalb des Observatoriums, um das Thermometer abzulesen.	{}	{H0003557=Alexis Bouvard|H0003557|https://upload.wikimedia.org/wikipedia/commons/b/b3/Alexis_Bouvard.jpg, H0004283=Jean-Claude Delamétherie|H0004283|https://upload.wikimedia.org/wikipedia/commons/1/18/Delam%C3%A9th%C3%A9rie.jpg}	[]
H0006119	1798-07-18	Wiederholung der magnetischen Beobachtungen vom 30.6.	{}	{}	[]
H0006120	1798-07-19	H. liest im „Institut“ über die „combinaison ternaire du phosphore, de l'azote et de l'oxygène“.	{}	{}	[]
H0006121	1798-07-24	H. veranstaltet galvanische Experimente bei Delamétherie in Anwesenheit seines Bruders Wilhelm u.a.	{}	{H0004283=Jean-Claude Delamétherie|H0004283|https://upload.wikimedia.org/wikipedia/commons/1/18/Delam%C3%A9th%C3%A9rie.jpg, H0012068=Bruder|H0012068|https://upload.wikimedia.org/wikipedia/commons/a/af/WilhelmvonHumboldt.jpg}	[]
H0006122	1798-10-12	H. liest im „Institut“ über die „absorption de l'oxygène par les terres simples“.	{}	{}	[]
H0006123	1798-10-15	H. erhält von der preußischen Gesandtschaft in Paris einen für 18 Monate gültigen Pass, in dem er als Reiseziele Marseille und Algier hat eintragen lassen.	{H0002382=Algier|H0002382, H0008129=Paris|H0008129, H0008734=Marseille|H0008734}	{}	[]
H0006124	1798-10-20	H. reist mit dem von ihm als Begleiter für die große Reise vorgesehenen Aimé Bonpland von Paris nach Marseille ab. Mittags in Melun, abends in Villeneuve-sur-Yonne. Die Nacht bringen H. und Bonpland im Wagen zu. Weitere Reiseroute:	{H0008129=Paris|H0008129, H0008734=Marseille|H0008734}	{H0003476=Bonpland|H0003476|https://upload.wikimedia.org/wikipedia/commons/5/5a/Bonpland_Aim%C3%A9_1773-1858.jpg}	[]
H0006125	1798-10-21	Mittags in Auxerre, abends in Lucie-le-Bois.	{H0002627=Auxerre|H0002627}	{}	[]
H0006126	1798-10-22	Mittags in Saulieu, abends in Arnay-le-Duc.	{H0010133=Saulieu|H0010133}	{}	[]
H0006127	1798-10-23	Mittags in Chalon-sur-Saône, abends in Mâcon.	{H0007308=Chalon-sur-Saône|H0007308, H0008548=Mâcon|H0008548}	{}	[]
H0006128	1798-10-24	H. und Bonpland fahren mit einer Barke auf der Saône weiter und treffen um 18 Uhr in Lyon ein.	{H0010110=Saône|H0010110, H0011538=Lyon|H0011538}	{H0003476=Bonpland|H0003476|https://upload.wikimedia.org/wikipedia/commons/5/5a/Bonpland_Aim%C3%A9_1773-1858.jpg}	[]
H0006129	1798-10-25	2 Uhr morgens: Aufbruch von Lyon. Mittags in Péage, abends in Valence.	{H0009078=Valence|H0009078, H0011538=Lyon|H0011538}	{}	[]
H0006130	1798-10-26	Nachts in Avignon.	{H0002629=Avignon|H0002629}	{}	[]
H0006131	1798-10-27	Mittags in Lambesc, um 18.30 Uhr Eintreffen in Marseille.	{H0008734=Marseille|H0008734, H0011348=Lambesc|H0011348}	{}	[]
H0006132	1798-10-31	H. und Bonpland warten bis Mitte Dezember vergeblich auf eine Überfahrtmöglichkeit nach Nordafrika. Sie botanisieren in der Umgebung von Marseille; H. besucht mehrfach die Sternwarte. Folgende Exkursionen werden unternommen:	{H0002331=Nordafrika|H0002331, H0008734=Marseille|H0008734}	{H0003476=Bonpland|H0003476|https://upload.wikimedia.org/wikipedia/commons/5/5a/Bonpland_Aim%C3%A9_1773-1858.jpg}	[]
H0006133	1798-11-10	Ausflug nach Toulon, Eintreffen dort um 18 Uhr.	{H0009499=Toulon|H0009499}	{}	[]
H0006134	1798-11-11	Besichtigung von Hafen und Arsenal in Toulon; H. auf La Boudeuse, dem Expeditionsschiff von Louis Antoine de Bougainville.	{H0009499=Toulon|H0009499}	{H0003535=Louis Antoine de Bougainville|H0003535|https://upload.wikimedia.org/wikipedia/commons/6/64/Louis_Antoine_de_Bougainville_-_Portrait_par_Jean-Pierre_Franquel.jpg}	[]
H0006135	1798-11-12	Abstecher nach Hygères und Rückkehr nach Toulon.	{H0009499=Toulon|H0009499}	{}	[]
H0006136	1798-11-13	Rückkehr nach Marseille.	{H0008734=Marseille|H0008734}	{}	[]
H0006137	1798-11-14	H. und Bonpland bleiben bis Mitte Dezember in Marseille, von wo aus sie einige Exkursionen z. B. zu den Gipsbrüchen von Allauch und zur Insel Pomègues unternehmen. Wegen der Kriegerklärung des Dey von Algier an Frankreich beschließt H., nach Tunis überzusetzen, erhält aber aus Sicherheitsgründen kein Visum dafür.	{H0002387=Allauch|H0002387, H0004801=Frankreich|H0004801, H0008734=Marseille|H0008734, H0009577=Tunis|H0009577}	{H0003476=Bonpland|H0003476|https://upload.wikimedia.org/wikipedia/commons/5/5a/Bonpland_Aim%C3%A9_1773-1858.jpg}	[]
H0006138	1798-12-04	H. entschließt sich, den ihm vorgeschlagenen Weg über Spanien zu wählen.	{H0010330=Spanien|H0010330}	{}	[]
H0006139	1798-12-15	H. und Bonpland reisen über Nimes (B: 21.12.), Montpellier (B: 24.12.) und Perpignan (B: 4.1.1799) nach Spanien.	{H0008226=Perpignan|H0008226, H0008945=Montpellier|H0008945, H0010330=Spanien|H0010330}	{H0003476=Bonpland|H0003476|https://upload.wikimedia.org/wikipedia/commons/5/5a/Bonpland_Aim%C3%A9_1773-1858.jpg}	[]
H0000622	1844-01	Meyerbeer setzt sich mit H. in Verbindung, um seine Entpflichtung vom Theaterdienst zu erreichen.	{}	{H0014192=Meyerbeer|H0014192|https://upload.wikimedia.org/wikipedia/commons/3/3e/Meyerbeer_d%27apr%C3%A8s_P._Petit_b_1865.jpg}	[]
H0000623	1844-01-21	H. erhält die Brillanten zum Roten Adler-Orden.	{}	{}	[]
H0000624	1844-01-25	Ehrenberg trägt in der Berliner Akademie eine von H. verfasste Note über den Meteorsteinfall von Kleinwenden bei Nordhausen vor.	{}	{H0005875=Christian Gottfried Ehrenberg|H0005875|https://upload.wikimedia.org/wikipedia/commons/4/48/Ehrenberg_Christian_Gottfried_1795-1876.png}	[]
H0000625	1844-03-05	Lateinische Aufführung der „Gefangenen“ von Plautus durch Berliner Studenten in Anwesenheit des Königs und H.s, der den Leiter der Veranstaltung Karl Eduard Geppert bei den Vorbereitungen unterstützt hat.	{}	{H0002030=Plautus|H0002030|https://upload.wikimedia.org/wikipedia/commons/3/35/Plautus.jpg, H0002178=König|H0002178|https://upload.wikimedia.org/wikipedia/commons/f/fd/FWIV.jpg, H0013411=Karl Eduard Geppert|H0013411|https://upload.wikimedia.org/wikipedia/commons/d/d6/Karl_Eduard_Geppert.jpg}	[]
H0000626	1844-03-12	Meyerbeer besucht H.	{}	{H0014192=Meyerbeer|H0014192|https://upload.wikimedia.org/wikipedia/commons/3/3e/Meyerbeer_d%27apr%C3%A8s_P._Petit_b_1865.jpg}	[]
H0000627	1844-05-16	H. besucht Meyerbeer.	{}	{H0014192=Meyerbeer|H0014192|https://upload.wikimedia.org/wikipedia/commons/3/3e/Meyerbeer_d%27apr%C3%A8s_P._Petit_b_1865.jpg}	[]
H0000628	1844-05-23	H. wird am Vormittag zweimal von Meyerbeer besucht.	{}	{H0014192=Meyerbeer|H0014192|https://upload.wikimedia.org/wikipedia/commons/3/3e/Meyerbeer_d%27apr%C3%A8s_P._Petit_b_1865.jpg}	[]
H0000629	1844-06-07	H. besucht Meyerbeer.	{}	{H0014192=Meyerbeer|H0014192|https://upload.wikimedia.org/wikipedia/commons/3/3e/Meyerbeer_d%27apr%C3%A8s_P._Petit_b_1865.jpg}	[]
H0000630	1844-06-14	H. läßt einen Aufsatz über physikalische Geographie des Himalaja anonym erscheinen.	{H0006863=Himalaja|H0006863}	{}	[]
H0000631	1844-07-30	H. trifft den in Berlin weilenden dänischen Dichter Hans Christian Andersen.	{H0005221=Berlin|H0005221}	{}	[]
H0000632	1844-08-04	Eine Abordnung der Berliner Akademie beglückwünscht H. zum 40. Jahrestag der Rückkehr von seiner Amerika-Reise.	{}	{}	[]
H0000633	1844-08-05	Die Akademie gibt ein Essen zur Feier der 40jährigen Wiederkehr H.s nach Europa. Die Festrede hält Carl Ritter. H. spricht Erwiderungsworte. Anwesend ist auch der Zoologe Charles Bonaparte (1803–1857).	{}	{H0000227=Charles Bonaparte|H0000227|https://upload.wikimedia.org/wikipedia/commons/b/b6/Bonaparte_Charles_Lucien_1803-1857.png, H0000936=Carl Ritter|H0000936|https://upload.wikimedia.org/wikipedia/commons/a/ac/Carl_ritter.jpg}	[]
H0000634	1844-08-06	H. führt Charles Bonaparte in Begleitung des Physiologen Johannes Müller (1801–1858) und des Zoologen Hinrich Lichtenstein (1780–1857) nach Charlottenhof, zum Neuen Palais und nach Sanssouci.	{H0007342=Charlottenhof|H0007342, H0010019=Sanssouci|H0010019}	{H0000227=Charles Bonaparte|H0000227|https://upload.wikimedia.org/wikipedia/commons/b/b6/Bonaparte_Charles_Lucien_1803-1857.png, H0004521=Lichtenstein|H0004521|https://upload.wikimedia.org/wikipedia/commons/f/f3/Martin_Lichtenstein.jpg, H0014420=Johannes Müller|H0014420|https://upload.wikimedia.org/wikipedia/commons/f/f0/Johannes_Peter_M%C3%BCller.jpg}	[]
H0000635	1844-08-15	H. trägt in der Berliner Akademie Mitteilungen von F. W. Bessel über die „Veränderlichkeit der Bewegung der Sterne“ vor.	{}	{H0003304=Friedrich Wilhelm Bessel|H0003304|https://upload.wikimedia.org/wikipedia/commons/b/bb/Friedrich_Wilhelm_Bessel.jpeg}	[]
H0000636	1844-09-13	Ankunft des Königs auf der Stettiner Eisenbahn. H. muss ihn dort empfangen; geht dann für einige Tage nach Sanssouci.	{H0010019=Sanssouci|H0010019}	{H0002178=König|H0002178|https://upload.wikimedia.org/wikipedia/commons/f/fd/FWIV.jpg}	[]
H0000637	1844-09-14	H. verlebt seinen 75. Geburtstag in Sanssouci. Am 15.9. reist Friedrich Wilhelm IV. nach Halle und Merseburg.	{H0006785=Halle|H0006785, H0008826=Merseburg|H0008826, H0010019=Sanssouci|H0010019}	{H0002178=König|H0002178|https://upload.wikimedia.org/wikipedia/commons/f/fd/FWIV.jpg}	[]
H0000638	1844-10-14	H. reist nach Paretz, König Friedrich Wilhelm IV. reist am 16.10. nach Halle und Merseburg.	{H0006785=Halle|H0006785, H0008113=Paretz|H0008113, H0008826=Merseburg|H0008826}	{H0002178=König|H0002178|https://upload.wikimedia.org/wikipedia/commons/f/fd/FWIV.jpg}	[]
H0000639	1844-11	H. schreibt in Potsdam das Vorwort zum ersten Band des „Kosmos“. Die Absicht, den Druck dieses Werkes zu beginnen, hat er schon Ende 1828 geäußert (Brief an F. W. Bessel. 20.12.1828); mit der Ausarbeitung des Manuskripts hat er 1833/34 begonnen (Brief an Bessel, 14.7.1833; Brief an Varnhagen von Ense, 24.10.1834).	{H0008392=Potsdam|H0008392}	{}	[]
H0000640	1844-12-27	H. besucht Varnhagen von Ense.	{}	{H0002776=Varnhagen von Ense|H0002776|https://upload.wikimedia.org/wikipedia/commons/2/2c/Karl-Varnhagen-von-Ense-1839-Zeichnung-von-Samuel-Friedrich-Diez.jpg}	[]
